---------------------Training [GAN]------------------------------
-----------------------------------------------------------------
Running time: 2023-08-22_21-52-32
name: celeba
train_file_path: ../../../CelebA/celeba/identity_CelebA.txt
model_name: GAN
n_classes: 1000
gpus: 1
img_path: ../../../CelebA/celeba/img_align_celeba
epochs: 280
z_dim: 100
batch_size: 64
n_critic: 5
lr: 0.004
-----------------------------------------------------------------
Initializing data loader took 0s
Epoch:187 	 Time:88.92
Epoch:188 	 Time:90.11
Epoch:189 	 Time:88.20
Epoch:190 	 Time:89.52
Epoch:191 	 Time:97.76
Epoch:192 	 Time:87.38
Epoch:193 	 Time:88.26
Epoch:194 	 Time:87.75
Epoch:195 	 Time:88.23
Epoch:196 	 Time:90.67
Epoch:197 	 Time:88.33
Epoch:198 	 Time:89.25
Epoch:199 	 Time:86.98
Epoch:200 	 Time:88.05
Epoch:201 	 Time:86.82
Epoch:202 	 Time:88.56
Epoch:203 	 Time:88.26
Epoch:204 	 Time:90.37
Epoch:205 	 Time:90.01
Epoch:206 	 Time:93.81
Epoch:207 	 Time:93.57
Epoch:208 	 Time:90.40
Epoch:209 	 Time:87.57
Epoch:210 	 Time:87.50
Epoch:211 	 Time:90.55
Epoch:212 	 Time:89.30
Epoch:213 	 Time:88.30
Epoch:214 	 Time:87.46
Epoch:215 	 Time:85.80
Epoch:216 	 Time:85.63
Epoch:217 	 Time:87.73
Epoch:218 	 Time:90.77
Epoch:219 	 Time:89.61
Epoch:220 	 Time:91.42
Epoch:221 	 Time:93.84
Epoch:222 	 Time:99.27
Epoch:223 	 Time:92.13
Epoch:224 	 Time:90.63
Epoch:225 	 Time:93.97
Epoch:226 	 Time:89.20
Epoch:227 	 Time:90.64
Epoch:228 	 Time:92.06
Epoch:229 	 Time:92.56
Epoch:230 	 Time:88.98
Epoch:231 	 Time:89.74
Epoch:232 	 Time:90.87
Epoch:233 	 Time:93.64
Epoch:234 	 Time:92.55
Epoch:235 	 Time:92.79
Epoch:236 	 Time:94.11
Epoch:237 	 Time:99.72
Epoch:238 	 Time:91.71
Epoch:239 	 Time:92.27
Epoch:240 	 Time:91.35
Epoch:241 	 Time:91.73
Epoch:242 	 Time:94.21
Epoch:243 	 Time:90.43
Epoch:244 	 Time:88.97
Epoch:245 	 Time:86.58
Epoch:246 	 Time:88.70
Epoch:247 	 Time:89.11
Epoch:248 	 Time:87.39
Epoch:249 	 Time:88.55
Epoch:250 	 Time:90.12
Epoch:251 	 Time:88.67
Epoch:252 	 Time:93.88
Epoch:253 	 Time:88.39
Epoch:254 	 Time:89.35
Epoch:255 	 Time:88.93
Epoch:256 	 Time:89.11
Epoch:257 	 Time:89.38
Epoch:258 	 Time:90.59
Epoch:259 	 Time:91.67
Epoch:260 	 Time:88.00
Epoch:261 	 Time:86.22
Epoch:262 	 Time:88.89
Epoch:263 	 Time:89.70
Epoch:264 	 Time:87.64
Epoch:265 	 Time:88.20
Epoch:266 	 Time:92.95
Epoch:267 	 Time:94.38
Epoch:268 	 Time:93.26
Epoch:269 	 Time:89.39
Epoch:270 	 Time:95.99
Epoch:271 	 Time:90.83
Epoch:272 	 Time:90.40
Epoch:273 	 Time:90.25
Epoch:274 	 Time:91.32
Epoch:275 	 Time:88.73
Epoch:276 	 Time:86.64
Epoch:277 	 Time:86.42
Epoch:278 	 Time:88.96
Epoch:279 	 Time:87.41
